wavelength_nm,R
1.198499999999999773e+03,2.012942936998277366e-01
1.196406288994259739e+03,2.082225776521952065e-01
1.194319880418534694e+03,2.092003458031245211e-01
1.192240736135289353e+03,2.029669885007617525e-01
1.190168818272094995e+03,1.884983942866895468e-01
1.188104089219330717e+03,1.652019858844032685e-01
1.186046511627906739e+03,1.333212442667417175e-01
1.183996048407014086e+03,9.467405132267883716e-02
1.181952662721893148e+03,5.376184368439555772e-02
1.179916317991631558e+03,1.890314297462164853e-02
1.177886977886977547e+03,2.210412014681095022e-03
1.175864606328182163e+03,1.654326134369020831e-02
1.173849167482859684e+03,6.907770430388077143e-02
1.171840625763871685e+03,1.556774406416739365e-01
1.169838945827232465e+03,2.620953119911025309e-01
1.167844092570036082e+03,3.715643523706794182e-01
1.165856031128404311e+03,4.717813438152904104e-01
1.163874726875455053e+03,5.569051977056744818e-01
1.161900145419292130e+03,6.259489142790581884e-01
1.159932252601015762e+03,6.804296669137249731e-01
1.157971014492753511e+03,7.226968472065167237e-01
1.156016397395707600e+03,7.550693238688536146e-01
1.154068367838227914e+03,7.794983733020567351e-01
1.152126892573900250e+03,7.974909432261394482e-01
1.150191938579654106e+03,8.101347822037829882e-01
1.148263473053891857e+03,8.181476672394067950e-01
1.146341463414633836e+03,8.219163715065919140e-01
1.144425877297684110e+03,8.215096393250865825e-01
1.142516682554813542e+03,8.166541840065675295e-01
1.140613847251962625e+03,8.066592473888658521e-01
1.138717339667458191e+03,7.902649210282770564e-01
1.136827128290253313e+03,7.653717488180220574e-01
1.134943181818181756e+03,7.285868637104512269e-01
1.133065469156227664e+03,6.745226205358957339e-01
1.131193959414818210e+03,5.949547978899581979e-01
1.129328621908126934e+03,4.789115852655144723e-01
1.127469426152398455e+03,3.184805684216511223e-01
1.125616341864287051e+03,1.329266757634618989e-01
1.123769338959212064e+03,8.664208134059318833e-03
1.121928387549730587e+03,5.169372531858770076e-02
1.120093457943924705e+03,2.300835796368148056e-01
1.118264520643806691e+03,4.241256649887171215e-01
1.116441546343735126e+03,5.743014626420774871e-01
1.114624505928853523e+03,6.780885802918792393e-01
1.112813370473537361e+03,7.480323044273679001e-01
1.111008111239860682e+03,7.954681920571460285e-01
1.109208699676075639e+03,8.280888849916865357e-01
1.107415107415107059e+03,8.507506913045739250e-01
1.105627306273062459e+03,8.664740516626485700e-01
1.103845268247754575e+03,8.771351317847249085e-01
1.102068965517241168e+03,8.838862704239469625e-01
1.100298370438374604e+03,8.873993265148344411e-01
1.098533455545370998e+03,8.879988816684543096e-01
1.096774193548386847e+03,8.857233749525357247e-01
1.095020557332114777e+03,8.803315660117611019e-01
1.093272519954389736e+03,8.712563035550511259e-01
1.091530054644808388e+03,8.574929504085210263e-01
1.089793134803364183e+03,8.373906873448568877e-01
1.088061733999091985e+03,8.082893895353713276e-01
1.086335825968728614e+03,7.659188289633757085e-01
1.084615384615384301e+03,7.035027084853384682e-01
