wavelength,n,k
480,3.13918666,0.104367193
482,3.13145008,0.0992203804
484,3.12374938,0.0943698474
486,3.11610636,0.0897957043
488,3.10853669,0.0854797307
490,3.101052,0.0814051581
492,3.09366099,0.077556508
494,3.08637023,0.0739194615
496,3.07918459,0.0704807495
498,3.07210765,0.067228058
500,3.06514193,0.064149946
502,3.0582891,0.0612357718
504,3.05155017,0.0584756282
506,3.04492556,0.0558602836
508,3.03841522,0.0533811294
510,3.03201874,0.0510301319
512,3.0257354,0.0487997888
514,3.01956418,0.0466830896
516,3.0135039,0.0446734795
518,3.00755317,0.0427648259
520,3.00171049,0.040951388
522,2.99597421,0.0392277895
524,2.99034263,0.0375889922
526,2.98481395,0.0360302725
528,2.97938634,0.0345472001
530,2.97405791,0.0331356173
532,2.96882677,0.0317916207
534,2.963691,0.0305115441
536,2.95864867,0.0292919423
538,2.95369785,0.0281295768
540,2.94883665,0.0270214019
542,2.94406314,0.025964552
544,2.93937546,0.0249563302
546,2.93477172,0.023994197
548,2.9302501,0.0230757604
550,2.92580878,0.0221987666
552,2.92144598,0.0213610909
554,2.91715995,0.0205607299
556,2.91294896,0.0197957937
558,2.90881133,0.0190644989
560,2.90474541,0.0183651621
562,2.90074957,0.0176961934
564,2.89682224,0.0170560913
566,2.89296187,0.0164434367
568,2.88916693,0.0158568884
570,2.88543597,0.0152951779
572,2.88176752,0.0147571057
574,2.87816019,0.0142415366
576,2.87461259,0.0137473964
578,2.87112339,0.0132736679
580,2.86769128,0.0128193878
582,2.86431499,0.0123836436
584,2.86099326,0.0119655703
586,2.85772489,0.0115643484
588,2.8545087,0.0111792003
590,2.85134354,0.010809389
592,2.84822828,0.0104542149
594,2.84516184,0.0101130141
596,2.84214315,0.00978515645
598,2.83917117,0.00947004354
600,2.83624489,0.00916710694
602,2.83336333,0.00887580661
604,2.83052554,0.0085956293
606,2.82773057,0.00832608709
608,2.82497753,0.00806671605
610,2.82226552,0.00781707487
612,2.81959368,0.00757674374
614,2.81696117,0.00734532311
616,2.81436717,0.00712243266
618,2.81181089,0.00690771029
620,2.80929155,0.0067008111
622,2.80680839,0.00650140656
624,2.80436068,0.00630918361
626,2.80194769,0.00612384387
628,2.79956873,0.00594510289
630,2.79722311,0.0057726894
632,2.79491016,0.00560634469
634,2.79262924,0.00544582191
636,2.79037972,0.00529088551
638,2.78816098,0.00514131064
640,2.78597242,0.00499688267
642,2.78381345,0.00485739659
644,2.7816835,0.00472265661
646,2.77958201,0.00459247566
648,2.77750845,0.00446667498
650,2.77546227,0.0043450837
